age,gender,job_role,years_of_experience,work_type,hours_worked_per_week,number_of_virtual_meetings,work_life_balance_rating,stress_level,productivity_change,social_isolation_rating,satisfaction_with_remote_work,company_support_for_remote_work,degree_of_remote_support,degree_of_social_isolation,degree_of_work-life_balance
43,Prefer not to say,Project Manager,29,Onsite,21,7,3,Medium,No Change,2,Satisfied,3,Medium,Low,Medium
48,Non-binary,Software Engineer,4,Onsite,50,11,1,Medium,Decrease,2,Satisfied,5,High,Low,Low
30,Prefer not to say,Software Engineer,10,Remote,41,0,1,Low,Increase,2,Satisfied,2,Low,Low,Low
59,Prefer not to say,Data Scientist,4,Hybrid,56,1,2,Low,Increase,4,Neutral,3,Medium,High,Low
51,Non-binary,Data Scientist,34,Remote,32,7,4,High,Decrease,5,Satisfied,1,Low,High,High
41,Prefer not to say,Data Scientist,29,Remote,48,12,5,High,No Change,1,Neutral,5,High,Low,High
30,Female,Data Scientist,2,Remote,60,8,5,High,Increase,3,Satisfied,2,Low,Medium,High
48,Female,Data Scientist,32,Hybrid,38,9,2,Medium,Decrease,5,Satisfied,5,High,High,Low
31,Non-binary,Data Scientist,27,Remote,34,9,1,High,No Change,5,Unsatisfied,2,Low,High,Low
44,Prefer not to say,Software Engineer,9,Onsite,23,14,4,High,Decrease,1,Satisfied,3,Medium,Low,High
42,Non-binary,Software Engineer,10,Hybrid,24,14,2,Medium,No Change,4,Neutral,5,High,High,Low
23,Non-binary,Software Engineer,23,Remote,31,2,4,High,Increase,5,Satisfied,5,High,High,High
23,Male,Project Manager,7,Hybrid,20,10,3,High,Increase,1,Neutral,2,Low,Low,Medium
46,Female,Software Engineer,9,Hybrid,42,5,2,Low,No Change,3,Neutral,4,High,Medium,Low
25,Prefer not to say,Software Engineer,28,Hybrid,40,4,1,Low,No Change,3,Neutral,4,High,Medium,Low
54,Prefer not to say,Software Engineer,20,Hybrid,22,10,4,Low,Decrease,1,Satisfied,1,Low,Low,High
33,Male,Data Scientist,11,Hybrid,45,8,4,High,Increase,4,Neutral,2,Low,High,High
30,Prefer not to say,Data Scientist,31,Remote,41,11,5,High,Decrease,3,Neutral,4,High,Medium,High
40,Prefer not to say,Data Scientist,23,Remote,49,11,2,Low,Increase,2,Unsatisfied,2,Low,Low,Low
27,Male,Project Manager,10,Remote,49,12,4,High,Decrease,1,Unsatisfied,5,High,Low,High
41,Male,Project Manager,14,Hybrid,59,4,5,Medium,Increase,3,Unsatisfied,2,Low,Medium,High
32,Non-binary,Project Manager,25,Remote,34,14,1,Medium,Decrease,4,Neutral,4,High,High,Low
52,Female,Software Engineer,14,Remote,55,10,2,Low,Decrease,4,Neutral,3,Medium,High,Low
26,Male,Project Manager,13,Remote,39,0,3,Medium,Decrease,1,Satisfied,5,High,Low,Medium
59,Non-binary,Project Manager,34,Remote,43,6,1,Medium,No Change,2,Neutral,2,Low,Low,Low
55,Non-binary,Software Engineer,28,Onsite,32,1,1,Low,No Change,3,Satisfied,4,High,Medium,Low
36,Prefer not to say,Data Scientist,9,Remote,25,15,1,Medium,Decrease,4,Neutral,2,Low,High,Low
41,Prefer not to say,Software Engineer,32,Onsite,59,15,2,Low,No Change,4,Satisfied,2,Low,High,Low
29,Non-binary,Software Engineer,21,Onsite,22,6,3,Low,No Change,2,Unsatisfied,2,Low,Low,Medium
41,Male,Project Manager,33,Remote,46,8,3,Medium,No Change,3,Satisfied,5,High,Medium,Medium
59,Male,Project Manager,8,Onsite,39,15,4,High,Increase,3,Unsatisfied,3,Medium,Medium,High
32,Prefer not to say,Project Manager,7,Remote,49,15,1,High,Decrease,3,Neutral,1,Low,Medium,Low
25,Prefer not to say,Data Scientist,14,Hybrid,32,10,2,Low,No Change,3,Satisfied,4,High,Medium,Low
40,Male,Data Scientist,1,Hybrid,47,9,3,Medium,No Change,4,Satisfied,2,Low,High,Medium
48,Prefer not to say,Data Scientist,14,Hybrid,25,13,3,Low,Increase,4,Neutral,4,High,High,Medium
57,Female,Data Scientist,19,Hybrid,55,7,2,High,No Change,2,Neutral,3,Medium,Low,Low
31,Male,Data Scientist,27,Onsite,57,2,4,High,Increase,4,Satisfied,5,High,High,High
56,Non-binary,Project Manager,35,Hybrid,58,13,4,Medium,Decrease,5,Satisfied,3,Medium,High,High
56,Non-binary,Data Scientist,22,Hybrid,28,4,2,Medium,Decrease,2,Satisfied,1,Low,Low,Low
55,Female,Data Scientist,31,Onsite,58,15,3,Low,No Change,1,Unsatisfied,2,Low,Low,Medium
28,Non-binary,Project Manager,2,Onsite,48,0,2,High,No Change,4,Unsatisfied,1,Low,High,Low
43,Non-binary,Data Scientist,28,Onsite,43,3,1,Medium,No Change,3,Satisfied,5,High,Medium,Low
52,Non-binary,Software Engineer,19,Hybrid,30,9,2,Low,Decrease,3,Satisfied,2,Low,Medium,Low
53,Male,Data Scientist,1,Onsite,29,1,1,Medium,Increase,3,Neutral,1,Low,Medium,Low
42,Prefer not to say,Project Manager,3,Remote,31,0,3,High,No Change,4,Neutral,3,Medium,High,Medium
58,Non-binary,Data Scientist,15,Onsite,58,9,2,High,Decrease,5,Unsatisfied,4,High,High,Low
27,Female,Software Engineer,23,Hybrid,60,8,1,High,Increase,3,Neutral,4,High,Medium,Low
24,Non-binary,Software Engineer,7,Remote,33,15,4,Low,Decrease,5,Satisfied,4,High,High,High
60,Female,Data Scientist,21,Hybrid,50,7,5,Low,Increase,3,Unsatisfied,2,Low,Medium,High
59,Non-binary,Data Scientist,7,Remote,38,10,5,High,Decrease,5,Unsatisfied,1,Low,High,High
23,Prefer not to say,Project Manager,13,Remote,51,14,3,Medium,No Change,3,Neutral,1,Low,Medium,Medium
40,Female,Project Manager,16,Onsite,54,0,4,Medium,Increase,5,Neutral,4,High,High,High
39,Non-binary,Project Manager,17,Remote,34,8,3,High,Increase,4,Satisfied,3,Medium,High,Medium
34,Female,Project Manager,1,Remote,60,0,2,Medium,Decrease,2,Satisfied,2,Low,Low,Low
48,Non-binary,Software Engineer,4,Remote,41,13,3,Low,Decrease,2,Neutral,3,Medium,Low,Medium
40,Non-binary,Project Manager,3,Remote,54,15,2,High,No Change,2,Neutral,2,Low,Low,Low
25,Prefer not to say,Software Engineer,35,Remote,54,5,1,High,No Change,5,Satisfied,2,Low,High,Low
57,Non-binary,Project Manager,8,Onsite,22,15,5,Medium,No Change,5,Satisfied,3,Medium,High,High
26,Prefer not to say,Software Engineer,2,Onsite,26,0,1,Low,No Change,2,Satisfied,3,Medium,Low,Low
57,Non-binary,Project Manager,32,Remote,53,9,3,Medium,Decrease,3,Unsatisfied,2,Low,Medium,Medium
44,Prefer not to say,Data Scientist,23,Remote,32,15,3,High,Increase,3,Unsatisfied,5,High,Medium,Medium
32,Male,Data Scientist,23,Hybrid,35,1,5,High,Increase,4,Unsatisfied,5,High,High,High
42,Non-binary,Software Engineer,20,Hybrid,44,6,5,High,No Change,3,Neutral,3,Medium,Medium,High
43,Non-binary,Software Engineer,25,Onsite,24,5,3,High,Decrease,5,Unsatisfied,4,High,High,Medium
27,Female,Project Manager,18,Hybrid,32,1,5,Low,Decrease,3,Unsatisfied,1,Low,Medium,High
44,Female,Data Scientist,7,Remote,49,11,2,Medium,Increase,2,Satisfied,3,Medium,Low,Low
56,Male,Software Engineer,6,Remote,39,11,4,Medium,Increase,5,Unsatisfied,3,Medium,High,High
45,Male,Data Scientist,17,Remote,26,13,3,High,No Change,3,Unsatisfied,5,High,Medium,Medium
47,Prefer not to say,Data Scientist,1,Onsite,46,6,5,Medium,Increase,1,Satisfied,4,High,Low,High
32,Male,Data Scientist,20,Hybrid,22,7,2,Low,No Change,3,Neutral,2,Low,Medium,Low
56,Non-binary,Project Manager,33,Hybrid,56,13,5,Low,No Change,1,Unsatisfied,5,High,Low,High
42,Non-binary,Software Engineer,25,Onsite,54,15,3,Low,No Change,3,Satisfied,4,High,Medium,Medium
36,Non-binary,Data Scientist,6,Hybrid,51,5,5,Medium,Increase,4,Neutral,3,Medium,High,High
32,Female,Project Manager,20,Hybrid,55,9,3,Low,No Change,3,Satisfied,4,High,Medium,Medium
60,Male,Data Scientist,28,Onsite,23,10,5,High,Decrease,4,Neutral,4,High,High,High
34,Prefer not to say,Project Manager,11,Onsite,58,10,3,High,Increase,5,Unsatisfied,3,Medium,High,Medium
46,Male,Data Scientist,7,Hybrid,45,15,4,High,No Change,4,Unsatisfied,2,Low,High,High
35,Non-binary,Software Engineer,23,Hybrid,35,11,1,Medium,Increase,3,Unsatisfied,5,High,Medium,Low
27,Male,Data Scientist,11,Hybrid,21,12,2,Low,Decrease,4,Unsatisfied,2,Low,High,Low
53,Female,Software Engineer,32,Hybrid,32,13,4,High,Decrease,5,Neutral,5,High,High,High
41,Prefer not to say,Data Scientist,4,Onsite,27,8,1,High,No Change,1,Neutral,5,High,Low,Low
46,Non-binary,Software Engineer,16,Onsite,28,5,3,High,No Change,1,Satisfied,4,High,Low,Medium
36,Prefer not to say,Data Scientist,33,Remote,33,0,2,Medium,Increase,3,Unsatisfied,3,Medium,Medium,Low
37,Male,Software Engineer,1,Remote,60,0,5,High,No Change,5,Satisfied,4,High,High,High
37,Non-binary,Software Engineer,1,Onsite,28,3,2,Low,Increase,3,Satisfied,4,High,Medium,Low
33,Non-binary,Data Scientist,19,Remote,41,5,3,Medium,No Change,4,Neutral,2,Low,High,Medium
53,Prefer not to say,Software Engineer,7,Onsite,51,13,1,Low,No Change,1,Satisfied,1,Low,Low,Low
23,Female,Data Scientist,5,Remote,52,9,5,Low,No Change,2,Unsatisfied,5,High,Low,High
45,Non-binary,Project Manager,6,Remote,51,3,4,Low,Decrease,1,Neutral,4,High,Low,High
44,Male,Project Manager,14,Onsite,59,10,3,High,Increase,4,Neutral,1,Low,High,Medium
45,Male,Project Manager,30,Hybrid,43,7,2,Medium,Decrease,2,Unsatisfied,4,High,Low,Low
48,Female,Software Engineer,7,Remote,22,2,5,High,No Change,5,Satisfied,4,High,High,High
58,Non-binary,Project Manager,29,Remote,27,3,4,High,No Change,2,Unsatisfied,1,Low,Low,High
50,Female,Project Manager,35,Remote,45,1,1,Medium,Decrease,1,Neutral,3,Medium,Low,Low
27,Male,Project Manager,20,Onsite,46,6,4,Medium,Increase,5,Neutral,3,Medium,High,High
22,Prefer not to say,Data Scientist,34,Hybrid,24,4,3,Medium,Decrease,1,Satisfied,1,Low,Low,Medium
37,Non-binary,Software Engineer,27,Hybrid,28,13,1,Low,No Change,2,Neutral,1,Low,Low,Low
29,Non-binary,Data Scientist,23,Remote,56,7,3,High,Decrease,4,Neutral,5,High,High,Medium
43,Prefer not to say,Data Scientist,32,Hybrid,35,1,2,Medium,No Change,4,Satisfied,1,Low,High,Low
32,Male,Project Manager,22,Hybrid,51,11,3,Low,No Change,5,Neutral,2,Low,High,Medium
40,Non-binary,Data Scientist,21,Remote,26,2,1,Low,Decrease,1,Neutral,3,Medium,Low,Low
55,Male,Project Manager,11,Hybrid,38,14,5,Medium,Decrease,4,Unsatisfied,4,High,High,High
54,Male,Project Manager,26,Onsite,57,2,4,Low,Increase,2,Satisfied,5,High,Low,High
54,Non-binary,Project Manager,14,Remote,26,15,4,Medium,Increase,2,Neutral,2,Low,Low,High
26,Non-binary,Project Manager,24,Remote,41,11,1,Low,Increase,2,Satisfied,4,High,Low,Low
48,Male,Project Manager,23,Remote,41,5,4,High,Increase,5,Satisfied,1,Low,High,High
32,Male,Software Engineer,6,Hybrid,25,9,4,Medium,No Change,4,Satisfied,2,Low,High,High
52,Male,Project Manager,35,Remote,56,10,4,Medium,No Change,1,Unsatisfied,3,Medium,Low,High
57,Prefer not to say,Software Engineer,7,Remote,43,8,2,Medium,No Change,2,Unsatisfied,3,Medium,Low,Low
40,Prefer not to say,Data Scientist,6,Onsite,53,4,2,High,Increase,5,Neutral,3,Medium,High,Low
49,Non-binary,Data Scientist,29,Remote,27,6,2,Medium,Decrease,4,Neutral,2,Low,High,Low
24,Prefer not to say,Software Engineer,31,Onsite,47,10,1,Low,No Change,3,Neutral,2,Low,Medium,Low
35,Male,Software Engineer,24,Remote,41,4,5,Low,No Change,2,Satisfied,5,High,Low,High
55,Non-binary,Project Manager,11,Remote,22,7,1,Low,No Change,1,Neutral,5,High,Low,Low
43,Male,Software Engineer,29,Onsite,44,14,1,Medium,Decrease,3,Unsatisfied,4,High,Medium,Low
48,Female,Software Engineer,6,Onsite,20,4,1,High,Increase,4,Unsatisfied,3,Medium,High,Low
54,Prefer not to say,Project Manager,35,Hybrid,44,15,4,High,No Change,2,Unsatisfied,2,Low,Low,High
37,Male,Software Engineer,27,Remote,43,11,3,Low,Increase,5,Neutral,2,Low,High,Medium
39,Male,Project Manager,4,Onsite,57,2,3,Medium,Increase,2,Unsatisfied,5,High,Low,Medium
46,Female,Project Manager,17,Onsite,51,3,2,Low,Decrease,4,Unsatisfied,5,High,High,Low
44,Male,Data Scientist,35,Onsite,39,12,3,High,Decrease,4,Unsatisfied,1,Low,High,Medium
28,Non-binary,Data Scientist,30,Hybrid,53,6,1,Medium,No Change,1,Satisfied,3,Medium,Low,Low
55,Prefer not to say,Project Manager,35,Hybrid,42,2,3,Medium,Decrease,2,Unsatisfied,5,High,Low,Medium
30,Prefer not to say,Software Engineer,17,Onsite,58,4,5,High,Decrease,1,Neutral,3,Medium,Low,High
44,Male,Data Scientist,10,Onsite,29,7,3,Medium,Decrease,5,Satisfied,1,Low,High,Medium
49,Prefer not to say,Software Engineer,26,Onsite,32,13,4,Medium,No Change,2,Unsatisfied,5,High,Low,High
36,Female,Software Engineer,4,Onsite,49,12,4,High,Decrease,5,Neutral,3,Medium,High,High
40,Female,Software Engineer,27,Onsite,24,7,5,Low,Decrease,5,Neutral,2,Low,High,High
26,Female,Software Engineer,22,Onsite,41,4,3,Low,Increase,2,Satisfied,5,High,Low,Medium
49,Prefer not to say,Software Engineer,8,Hybrid,27,0,5,High,Increase,5,Neutral,5,High,High,High
45,Prefer not to say,Software Engineer,19,Remote,49,11,3,Low,Decrease,1,Unsatisfied,2,Low,Low,Medium
27,Prefer not to say,Software Engineer,17,Remote,39,1,3,Low,Increase,5,Unsatisfied,2,Low,High,Medium
44,Female,Software Engineer,12,Hybrid,56,15,3,Medium,Increase,4,Unsatisfied,3,Medium,High,Medium
53,Female,Data Scientist,31,Onsite,42,13,3,Medium,Increase,3,Satisfied,2,Low,Medium,Medium
41,Prefer not to say,Data Scientist,4,Remote,22,4,1,Low,No Change,5,Unsatisfied,2,Low,High,Low
59,Male,Data Scientist,8,Onsite,42,11,1,Low,Decrease,2,Satisfied,1,Low,Low,Low
45,Female,Data Scientist,20,Remote,31,14,3,Low,No Change,4,Neutral,2,Low,High,Medium
52,Prefer not to say,Software Engineer,17,Remote,20,5,4,High,Increase,2,Satisfied,1,Low,Low,High
48,Prefer not to say,Software Engineer,25,Onsite,28,1,3,High,Decrease,5,Neutral,4,High,High,Medium
22,Prefer not to say,Data Scientist,23,Onsite,35,13,1,Medium,No Change,2,Neutral,1,Low,Low,Low
50,Non-binary,Project Manager,9,Onsite,58,7,3,High,Decrease,4,Unsatisfied,4,High,High,Medium
29,Female,Data Scientist,16,Remote,28,0,3,High,Increase,5,Neutral,3,Medium,High,Medium
27,Male,Software Engineer,29,Remote,44,14,2,Low,Decrease,4,Unsatisfied,1,Low,High,Low
43,Prefer not to say,Project Manager,14,Onsite,50,4,5,Medium,No Change,4,Neutral,4,High,High,High
47,Female,Project Manager,6,Hybrid,53,5,5,High,Increase,5,Unsatisfied,3,Medium,High,High
44,Male,Software Engineer,17,Remote,36,7,4,Low,Increase,5,Satisfied,2,Low,High,High
34,Non-binary,Project Manager,10,Hybrid,40,11,5,High,Decrease,4,Neutral,5,High,High,High
59,Female,Software Engineer,22,Onsite,39,11,1,Low,No Change,2,Neutral,4,High,Low,Low
26,Female,Project Manager,2,Onsite,54,12,4,High,No Change,5,Neutral,3,Medium,High,High
40,Male,Software Engineer,24,Hybrid,44,9,3,High,No Change,3,Neutral,4,High,Medium,Medium
47,Female,Data Scientist,2,Remote,33,3,2,High,Increase,4,Neutral,5,High,High,Low
26,Male,Software Engineer,3,Onsite,33,8,2,High,Increase,2,Unsatisfied,4,High,Low,Low
39,Prefer not to say,Project Manager,22,Remote,24,12,2,Low,No Change,4,Satisfied,2,Low,High,Low
60,Non-binary,Project Manager,33,Hybrid,50,7,3,High,Increase,5,Unsatisfied,5,High,High,Medium
28,Male,Project Manager,19,Remote,40,9,3,Medium,No Change,4,Unsatisfied,1,Low,High,Medium
34,Female,Data Scientist,1,Remote,29,2,5,High,No Change,1,Neutral,2,Low,Low,High
47,Prefer not to say,Software Engineer,4,Remote,23,13,4,Low,No Change,2,Unsatisfied,3,Medium,Low,High
51,Prefer not to say,Data Scientist,6,Remote,31,10,3,High,Increase,3,Neutral,1,Low,Medium,Medium
36,Female,Data Scientist,2,Hybrid,27,6,4,Low,Increase,1,Satisfied,2,Low,Low,High
47,Female,Software Engineer,26,Remote,59,15,3,Medium,Increase,4,Satisfied,3,Medium,High,Medium
60,Male,Software Engineer,33,Onsite,36,4,3,Medium,No Change,4,Unsatisfied,1,Low,High,Medium
25,Female,Data Scientist,13,Hybrid,26,8,4,Medium,No Change,5,Unsatisfied,4,High,High,High
36,Male,Data Scientist,1,Onsite,24,0,5,Medium,Decrease,3,Unsatisfied,4,High,Medium,High
56,Male,Data Scientist,8,Onsite,41,15,1,High,Decrease,1,Unsatisfied,2,Low,Low,Low
33,Female,Project Manager,16,Remote,34,9,3,Medium,Decrease,4,Neutral,5,High,High,Medium
51,Female,Data Scientist,24,Hybrid,50,5,1,Low,Increase,1,Neutral,3,Medium,Low,Low
55,Prefer not to say,Data Scientist,22,Hybrid,36,8,2,High,Decrease,3,Neutral,3,Medium,Medium,Low
52,Prefer not to say,Project Manager,16,Remote,26,12,4,High,Decrease,3,Satisfied,5,High,Medium,High
47,Prefer not to say,Data Scientist,14,Onsite,55,14,4,Medium,Decrease,2,Neutral,4,High,Low,High
57,Prefer not to say,Software Engineer,17,Hybrid,44,13,3,Medium,Decrease,4,Satisfied,5,High,High,Medium
26,Female,Software Engineer,18,Remote,36,9,5,Low,Increase,2,Satisfied,2,Low,Low,High
34,Non-binary,Project Manager,30,Remote,54,11,4,Low,No Change,4,Unsatisfied,5,High,High,High
54,Prefer not to say,Software Engineer,26,Onsite,35,13,1,Medium,No Change,5,Satisfied,3,Medium,High,Low
45,Prefer not to say,Data Scientist,24,Onsite,22,0,1,High,Increase,4,Neutral,3,Medium,High,Low
40,Male,Project Manager,16,Hybrid,59,9,5,Medium,No Change,2,Unsatisfied,3,Medium,Low,High
26,Prefer not to say,Project Manager,29,Hybrid,56,1,4,Low,Decrease,4,Satisfied,5,High,High,High
37,Male,Software Engineer,20,Onsite,45,7,1,Medium,Increase,5,Unsatisfied,3,Medium,High,Low
23,Female,Project Manager,13,Hybrid,27,0,2,Low,Decrease,4,Neutral,3,Medium,High,Low
53,Non-binary,Data Scientist,20,Remote,23,13,3,Medium,Increase,2,Neutral,4,High,Low,Medium
37,Male,Project Manager,24,Remote,60,5,4,Medium,Decrease,5,Neutral,3,Medium,High,High
51,Prefer not to say,Software Engineer,26,Hybrid,60,1,2,Medium,Increase,1,Satisfied,4,High,Low,Low
51,Prefer not to say,Project Manager,29,Onsite,26,13,5,Low,Decrease,4,Unsatisfied,5,High,High,High
44,Female,Data Scientist,23,Remote,52,12,5,Low,Decrease,5,Unsatisfied,4,High,High,High
41,Female,Project Manager,29,Hybrid,24,2,2,High,Decrease,2,Neutral,4,High,Low,Low
34,Non-binary,Project Manager,21,Onsite,41,6,2,Low,No Change,1,Unsatisfied,4,High,Low,Low
57,Male,Software Engineer,26,Onsite,37,11,4,Medium,No Change,5,Unsatisfied,3,Medium,High,High
38,Prefer not to say,Data Scientist,26,Remote,54,15,5,Low,No Change,5,Unsatisfied,3,Medium,High,High
53,Prefer not to say,Project Manager,2,Remote,21,1,4,Low,Increase,1,Neutral,5,High,Low,High
30,Male,Data Scientist,7,Onsite,25,2,4,Medium,Increase,2,Neutral,2,Low,Low,High
55,Male,Software Engineer,3,Remote,51,2,4,Low,Decrease,5,Satisfied,4,High,High,High
34,Male,Project Manager,30,Onsite,46,9,4,Medium,No Change,4,Satisfied,3,Medium,High,High
44,Non-binary,Software Engineer,20,Remote,32,4,3,Medium,Decrease,4,Unsatisfied,3,Medium,High,Medium
28,Prefer not to say,Data Scientist,7,Remote,51,10,1,High,Decrease,1,Neutral,1,Low,Low,Low
37,Non-binary,Project Manager,29,Remote,53,5,1,High,Increase,3,Neutral,1,Low,Medium,Low
60,Male,Software Engineer,15,Hybrid,60,15,1,Low,No Change,1,Neutral,4,High,Low,Low
58,Male,Software Engineer,8,Remote,47,13,5,Low,No Change,3,Neutral,3,Medium,Medium,High
49,Female,Data Scientist,16,Remote,37,3,2,Low,No Change,1,Neutral,3,Medium,Low,Low
25,Female,Software Engineer,26,Onsite,38,8,5,Low,Increase,3,Neutral,3,Medium,Medium,High
53,Non-binary,Data Scientist,6,Onsite,44,6,3,High,Decrease,5,Satisfied,4,High,High,Medium
32,Female,Software Engineer,23,Hybrid,24,9,4,Medium,Decrease,5,Neutral,5,High,High,High
40,Male,Software Engineer,29,Hybrid,26,3,3,Low,Increase,2,Unsatisfied,3,Medium,Low,Medium
58,Female,Project Manager,22,Hybrid,24,13,3,High,Decrease,5,Neutral,3,Medium,High,Medium
39,Female,Project Manager,31,Hybrid,41,14,4,Low,Increase,2,Satisfied,3,Medium,Low,High
41,Female,Software Engineer,24,Onsite,22,4,3,Medium,Decrease,5,Neutral,2,Low,High,Medium
28,Prefer not to say,Data Scientist,23,Remote,24,11,5,Medium,No Change,2,Neutral,4,High,Low,High
30,Prefer not to say,Data Scientist,4,Hybrid,50,2,3,Low,No Change,2,Neutral,2,Low,Low,Medium
38,Male,Project Manager,19,Remote,40,8,4,High,No Change,2,Unsatisfied,2,Low,Low,High
37,Non-binary,Data Scientist,30,Onsite,51,15,4,High,No Change,5,Satisfied,3,Medium,High,High
44,Non-binary,Data Scientist,24,Hybrid,52,2,2,Low,No Change,4,Satisfied,4,High,High,Low
41,Non-binary,Software Engineer,14,Onsite,23,15,1,High,No Change,2,Unsatisfied,4,High,Low,Low
45,Male,Project Manager,11,Onsite,26,12,5,Medium,Increase,4,Unsatisfied,2,Low,High,High
35,Non-binary,Project Manager,7,Onsite,56,11,5,Low,Decrease,2,Unsatisfied,1,Low,Low,High
52,Non-binary,Software Engineer,7,Hybrid,29,4,5,Low,Decrease,4,Satisfied,4,High,High,High
47,Male,Software Engineer,33,Onsite,23,9,3,High,Decrease,1,Neutral,1,Low,Low,Medium
44,Prefer not to say,Software Engineer,24,Remote,34,4,5,Medium,Decrease,5,Satisfied,4,High,High,High
60,Prefer not to say,Software Engineer,8,Hybrid,53,10,3,High,No Change,3,Neutral,2,Low,Medium,Medium
35,Female,Software Engineer,10,Hybrid,44,0,4,Medium,Decrease,5,Neutral,1,Low,High,High
50,Prefer not to say,Software Engineer,32,Remote,34,4,5,Medium,Increase,3,Neutral,2,Low,Medium,High
36,Female,Project Manager,12,Onsite,29,5,1,Low,Decrease,3,Neutral,2,Low,Medium,Low
57,Prefer not to say,Project Manager,13,Remote,38,13,1,High,Decrease,4,Neutral,2,Low,High,Low
41,Non-binary,Project Manager,13,Remote,38,1,5,Low,Increase,5,Neutral,5,High,High,High
24,Male,Data Scientist,23,Onsite,43,1,3,Medium,No Change,4,Satisfied,5,High,High,Medium
46,Male,Software Engineer,28,Remote,50,2,4,Low,No Change,3,Unsatisfied,4,High,Medium,High
56,Non-binary,Project Manager,3,Remote,47,15,2,High,Increase,1,Unsatisfied,4,High,Low,Low
34,Prefer not to say,Software Engineer,6,Hybrid,36,15,3,High,No Change,5,Neutral,4,High,High,Medium
47,Non-binary,Data Scientist,33,Remote,41,8,3,High,Decrease,5,Neutral,5,High,High,Medium
51,Non-binary,Software Engineer,32,Hybrid,32,4,1,Medium,Decrease,5,Satisfied,5,High,High,Low
27,Prefer not to say,Software Engineer,3,Remote,40,6,5,High,No Change,4,Neutral,5,High,High,High
45,Male,Software Engineer,28,Remote,30,13,5,High,No Change,4,Neutral,4,High,High,High
38,Female,Project Manager,10,Hybrid,25,0,3,Low,Decrease,3,Unsatisfied,4,High,Medium,Medium
33,Female,Software Engineer,13,Onsite,59,4,1,Medium,Decrease,4,Unsatisfied,3,Medium,High,Low
34,Female,Data Scientist,3,Hybrid,45,5,4,High,Decrease,3,Neutral,4,High,Medium,High
54,Female,Data Scientist,25,Onsite,36,3,1,High,Increase,2,Satisfied,1,Low,Low,Low
39,Non-binary,Data Scientist,12,Onsite,39,6,4,High,Increase,4,Satisfied,2,Low,High,High
55,Prefer not to say,Software Engineer,16,Onsite,36,10,5,Medium,Decrease,5,Neutral,4,High,High,High
32,Prefer not to say,Project Manager,32,Hybrid,38,12,3,High,Decrease,2,Satisfied,4,High,Low,Medium
34,Prefer not to say,Data Scientist,31,Remote,42,7,3,High,No Change,2,Satisfied,1,Low,Low,Medium
29,Male,Project Manager,5,Hybrid,53,1,4,Medium,Decrease,4,Satisfied,3,Medium,High,High
59,Non-binary,Software Engineer,26,Remote,56,13,3,High,Decrease,2,Satisfied,2,Low,Low,Medium
48,Prefer not to say,Project Manager,9,Hybrid,28,3,1,High,Decrease,3,Unsatisfied,5,High,Medium,Low
45,Male,Software Engineer,24,Remote,34,13,5,High,Increase,5,Unsatisfied,1,Low,High,High
38,Female,Software Engineer,18,Hybrid,24,12,4,Low,No Change,4,Unsatisfied,5,High,High,High
24,Male,Software Engineer,26,Onsite,35,10,1,High,Increase,5,Neutral,2,Low,High,Low
33,Non-binary,Project Manager,17,Remote,33,9,4,High,Increase,2,Neutral,5,High,Low,High
52,Male,Project Manager,23,Hybrid,28,13,3,Low,Increase,1,Unsatisfied,1,Low,Low,Medium
45,Female,Software Engineer,24,Hybrid,28,2,1,High,Decrease,5,Unsatisfied,2,Low,High,Low
50,Non-binary,Project Manager,16,Onsite,30,6,2,High,Decrease,3,Satisfied,5,High,Medium,Low
58,Non-binary,Software Engineer,6,Remote,30,12,5,Medium,Decrease,2,Satisfied,3,Medium,Low,High
43,Male,Project Manager,30,Onsite,49,10,4,High,No Change,4,Satisfied,2,Low,High,High
24,Female,Project Manager,23,Onsite,25,15,2,High,Increase,4,Neutral,1,Low,High,Low
36,Prefer not to say,Software Engineer,9,Hybrid,28,0,3,Low,Increase,5,Satisfied,2,Low,High,Medium
24,Female,Project Manager,3,Hybrid,53,3,4,Low,No Change,4,Satisfied,2,Low,High,High
24,Prefer not to say,Project Manager,21,Remote,60,6,2,Medium,No Change,5,Neutral,5,High,High,Low
40,Female,Software Engineer,28,Onsite,60,9,4,Medium,Decrease,4,Satisfied,3,Medium,High,High
23,Prefer not to say,Data Scientist,31,Hybrid,27,8,1,Low,No Change,2,Satisfied,3,Medium,Low,Low
24,Non-binary,Data Scientist,29,Hybrid,40,0,4,High,Decrease,5,Unsatisfied,4,High,High,High
33,Male,Data Scientist,4,Hybrid,28,14,5,Medium,Decrease,1,Unsatisfied,3,Medium,Low,High
44,Male,Project Manager,30,Onsite,35,10,5,High,No Change,2,Satisfied,4,High,Low,High
44,Male,Data Scientist,6,Onsite,30,1,5,Low,Decrease,2,Neutral,4,High,Low,High
52,Prefer not to say,Software Engineer,20,Onsite,23,10,3,Medium,Increase,4,Satisfied,2,Low,High,Medium
38,Non-binary,Software Engineer,7,Onsite,38,13,1,Low,Increase,3,Neutral,3,Medium,Medium,Low
28,Prefer not to say,Data Scientist,9,Remote,25,2,3,High,Decrease,2,Satisfied,3,Medium,Low,Medium
41,Non-binary,Software Engineer,11,Remote,42,8,1,Medium,Decrease,5,Neutral,5,High,High,Low
